sentences,processed_sentences,risk_label
"the delays were costly, but gustafson pointed out that this is oregon iron works' first foray into streetcar construction",the delay be costly but gustafson point out that this be oregon iron works first foray into streetcar construction,1
the design of three stations on university avenue that were not included in the original proposal.,the design of three station on university avenue that be not include in the original proposal,1
"the dulles rail project is very complex, and it remains to be seen whether or not it is completed on time since maintenance of the schedule is dependent on numerous factors, and mitigation measures are already underway to address any potential delays.",the dulles rail project be very complex and it remain to be see whether or not it be complete on time since maintenance of the schedule be dependent on numerous factor and mitigation measure be already underway to address any potential delay,1
the elimination of new starts funding for new projects would push back the planned replacement of the antiquated portal swing bridge over the hackensack river that is a vital first stage of the gateway project.,the elimination of new start funding for new project would push back the plan replacement of the antiquated portal swing bridge over the hackensack river that be a vital first stage of the gateway project,1
"the first year of major construction on a future light-rail line in st. paul suffered from communication lapses, haphazard planning, and inattention to community concerns - and that's according to the government agency that manages the project.",the first year of major construction on a future light rail line in st paul suffer from communication lapse haphazard planning and inattention to community concern and that be accord to the government agency that manage the project,1
the frequency of staff turnover is high and impacts project delivery,the frequency of staff turnover be high and impact project delivery,1
"the fta does not send these agreements to congress unless they are fully satisfied there will be no changes to the documents,"" said jim mcdonough, a ramsey county commissioner who heads that county's railroad authority and has worked to push the central corridor forward.",the fta do not send these agreement to congress unless they be fully satisfied there will be no change to the document say jim mcdonough a ramsey county commissioner who head that county s railroad authority and have work to push the central corridor forward,1
"the gas probably leaked from an old underground gas storage tank,",the gas probably leak from an old underground gas storage tank,1
"the group fears the trains continually will block traffic when they roll through town, block ambulances from reaching a nearby hospital and hit unsuspecting pedestrians and local schoolchildren.",the group fear the train continually will block traffic when they roll through town block ambulance from reach a nearby hospital and hit unsuspecting pedestrian and local schoolchildren,1
"the hiawatha light rail line in minneapolis was the target of a handful of lawsuits, including two filed by xcel energy and one by then-state rep. phil krinkie, the current president of the taxpayers league of minnesota.",the hiawatha light rail line in minneapolis be the target of a handful of lawsuit include two file by xcel energy and one by then state rep phil krinkie the current president of the taxpayers league of minnesota,1
the latest deficiencies add to the list of quality issues raised about the $2.8 billion construction project.,the late deficiency add to the list of quality issue raise about the billion construction project,1
the latest increase will cover the rewiring and relighting of the washington avenue bridge and the reinforcement of an empty underground space discovered outside the ford building at 117 university ave. in st. paul.,the late increase will cover the rewiring and relighte of the washington avenue bridge and the reinforcement of an empty underground space discover outside the ford building at university ave in st paul,1
"the line, eventually to stretch 37 miles between los angeles and claremont, calif., was revived by the joint powers authority a year and a half after the county metropolitan transportation authority suspended its new rail construction program in 1998",the line eventually to stretch mile between los angeles and claremont calif be revive by the joint power authority a year and a half after the county metropolitan transportation authority suspend its new rail construction program in,1
the major obstacle this project faced was utility relocation delays that delayed the work.,the major obstacle this project face be utility relocation delay that delay the work,1
"the metro construction program for the current fiscal year - 1979 - also would be held up until the ""full faith and credit"" problem is resolved",the metro construction program for the current fiscal year also would be hold up until the full faith and credit problem be resolve,1
"the metropolitan transportation authority acknowledged friday that flawed construction on a $2.06-billion rail line through south los angeles will delay its opening until mid-2021, two years later than originally promised.",the metropolitan transportation authority acknowledge friday that flawed construction on a billion rail line through south los angeles will delay its opening until mid two year later than originally promise,1
the mishap occurred as workers were cutting apart a bracket while dismantling a tunneling machine in preparation for removing it.,the mishap occur as worker be cut apart a bracket while dismantle a tunnel machine in preparation for remove it,1
the mta would have had to put up $80 million to secure those funds.,the mta would have have to put up million to secure those fund,1
the new plan is expected to delay the process for selecting an engineer for the southwest corridor light rail by half a year.,the new plan be expect to delay the process for select an engineer for the southwest corridor light rail by half a year,1
"the new timetable takes into account details learned from agreements made with metrolink, corridor cities along the route, and other third parties affected by the gold line expansion.",the new timetable take into account detail learn from agreement make with metrolink corridor city along the route and other third party affect by the gold line expansion,1
"the opening of the baltimore subway line already had been delayed about a year, largely as a result of holdups in the production of rail cars by the budd co., a philadelphia-based manufacturer.",the opening of the baltimore subway line already have be delay about a year largely as a result of holdup in the production of rail car by the budd co a philadelphia base manufacturer,1
"the original contractor, siemens signed an agreement for us$62mn at less than half of the original us$155mn claim",the original contractor siemens sign an agreement for us mn at less than half of the original us mn claim,1
"the permit was delayed in review due to a key staff member being temporarily assigned to military duty and others being on work-related travel, unsworth told the djc in an email.",the permit be delay in review due to a key staff member be temporarily assign to military duty and other be on work relate travel unsworth tell the djc in an email,1
"the poplar grove council's attorney has already sent a letter to the federal transit administration -- which provided $ 5.85 million, or 80 percent of the funding -- asking for a more in-depth environmental study.",the poplar grove council s attorney have already send a letter to the federal transit administration which provide million or percent of the funding ask for a more in depth environmental study,1
the president's spending plan cuts $ 500 million from the 2005 federal aviation administration's facilities and equipment budget -- money earmarked for upgrading air-traffic control equipment and towers.,the president s spending plan cut million from the federal aviation administration s facility and equipment budget money earmark for upgrade air traffic control equipment and tower,0
"the question is how culpable are the contractors and the metropolitan washington airports authority (mwaa), which has responsibility of overseeing the project before handing it over to wmata?",the question be how culpable be the contractor and the metropolitan washington airports authority mwaa which have responsibility of oversee the project before hand it over to wmata,1
the re-bidding and restructuring of the project have caused its completion date to be pushed back to december 2009 from august 2008.,the re bidding and restructuring of the project have cause its completion date to be push back to december from august,1
"the result of the proposed use of the cut and cover method can only be further delays and costs for the project.""",the result of the propose use of the cut and cover method can only be further delay and cost for the project,1
"the silver lines engineering oversight team also found that workers with capital rail construction had incorrectly installed girders that support five of the six new station buildings, mr. stark said.",the silver line engineering oversight team also find that worker with capital rail construction have incorrectly instal girder that support five of the six new station building mr stark say,1
"the six members of the wssc's governing board have postponed several construction projects since february when the board voted to dismiss general manager john griffin and his deputy, michael errico, citing mismanagement of funds.",the six member of the wssc s governing board have postpone several construction project since february when the board vote to dismiss general manager john griffin and his deputy michael errico cite mismanagement of fund,1
the soil problem was among factors causing the project's delay.,the soil problem be among factor cause the project s delay,1
"the south corridor light rail line is feeling the effects of a national increase in construction costs due to significant increases in concrete, asphalt and steel prices, hurricanes katrina and rita, and a shortage of skilled labor.",the south corridor light rail line be feel the effect of a national increase in construction cost due to significant increase in concrete asphalt and steel price hurricanes katrina and rita and a shortage of skilled labor,1
"the southeastern michigan transportation authority (semta) has discovered that 38 precast concrete beams in, or destined for, the 2.9-mile detroit peoplemover are defective.",the southeastern michigan transportation authority semta have discover that precast concrete beam in or destine for the mile detroit peoplemover be defective,1
the state's financial problems have caused the program to be largely suspended this year.,the state s financial problem have cause the program to be largely suspend this year,1
the subway proposal was enveloped in controversy almost from the beginning.,the subway proposal be envelop in controversy almost from the beginning,1
the sunrail plan endured years as a political football within the florida legislature.,the sunrail plan endure year as a political football within the florida legislature,1
"the team building the 32-mile-long first phase of a $1.2-billion central florida commuter rail project, which endured years of political delay, is making its way through a unique set of coordination challenges to get the first trains moving next spring.",the team build the mile long first phase of a billion central florida commuter rail project which endure year of political delay be make its way through a unique set of coordination challenge to get the first train move next spring,1
the top five challenges - in reverse order of concern - are as follows: 5. the 69th street entrance to the 72nd street entrance 4. installation of tracks 3. electrical work 2. keeping the project on budget 1. the 86th street entrance.,the top five challenge in reverse order of concern be as follow the th street entrance to the nd street entrance installation of track electrical work keep the project on budget the th street entrance,1
the two processes did not completely align causing confusion and issues with timely resolution of disputes.,the two process do not completely align cause confusion and issue with timely resolution of dispute,1
"the uncertainty of time relative to complex governmental approval processes discourages capital investment, as it represents an unmeasurable risk.",the uncertainty of time relative to complex governmental approval process discourage capital investment as it represent an unmeasurable risk,1
"the university and the metropolitan council have been discussing vibrations, electromagnetic interference and other impacts from the light rail trains for the past several months.",the university and the metropolitan council have be discuss vibration electromagnetic interference and other impact from the light rail train for the past several month,1
the vehicle purchase was delayed until officials had a better idea of how much project funding would be available.,the vehicle purchase be delay until official have a well idea of how much project funding would be available,1
the washington metropolitan area transit authority is taking a $ 2.1-billion fast-track gamble.,the washington metropolitan area transit authority be take a billion fast track gamble,1
"their subcontractor, handex of maryland inc., odenton, md., removed 10 underground storage tanks and installed 108 extraction wells and several high-capacity ventilation systems in buildings.",their subcontractor handex of maryland inc odenton md remove underground storage tank and instal extraction well and several high capacity ventilation system in building,1
"there were a lot of knowns, but also a good number of unknowns that we couldn't incorporate into the scope of the project",there be a lot of known but also a good number of unknown that we could not incorporate into the scope of the project,1
"there were a lot of knowns, but also a good number of unknowns that we couldn't incorporate into the scope of the project,",there be a lot of known but also a good number of unknown that we could not incorporate into the scope of the project,1
this is not the first time a group of downtown stakeholders has objected to the regional connector plans.,this be not the first time a group of downtown stakeholder have object to the regional connector plan,1
this is the first time the department has sought a construction team to both design and build a major transportation project.,this be the first time the department have seek a construction team to both design and build a major transportation project,1
"this process involves dozens of overlapping state and federal laws, including: the national environ- mental policy act (nepa); state nepa equivalents; wetland permits; endangered species implementation; clean air conformity; and additional regulatory hurdles not related to the environmental review and approval process.",this process involve dozen of overlap state and federal law include the national environ mental policy act nepa state nepa equivalent wetland permits endanger specie implementation clean air conformity and additional regulatory hurdle not relate to the environmental review and approval process,1
"this summer, a report confirmed that operation likely won't begin until the latter portion of 2020 because construction problems that have delayed the project from its initial operation date of 2018.",this summer a report confirm that operation likely will not begin until the latter portion of because construction problem that have delay the project from its initial operation date of,1
"those agreements painted a clearer picture of future obstacles along the way, including rail detours, metrolink track relocation, and constraints for construction of rail crossings at street level.",those agreement paint a clear picture of future obstacle along the way include rail detour metrolink track relocation and constraint for construction of rail crossing at street level,1
"to make matters worse, project officials failed to monitor the costs associated with the project's change orders.",to make matter bad project official fail to monitor the cost associate with the project s change order,1
transit district attorney day-wilson said friday that she was not sure whether the legal process involved in suing the two gas stations for reimbursement would ultimately delay the sprinter's overall construction schedule.,transit district attorney day wilson say friday that she be not sure whether the legal process involve in sue the two gas station for reimbursement would ultimately delay the sprinter s overall construction schedule,1
"tunneling work delayed since last fall, first by a collapse and later by contaminated soil, will resume soon on a $ 321-million baltimore metro line.",tunnel work delay since last fall first by a collapse and later by contaminate soil will resume soon on a million baltimore metro line,1
"two federal agencies and a third-party railroad, csx, had to review all design decisions.",two federal agency and a third party railroad csx have to review all design decision,1
"university general counsel mark rotenberg wrote to federal officials tuesday, requesting that they delay issuing the final record of decision until the u and the met council ""reach a comprehensive written agreement that mitigates the project's adverse environmental effects and preserves the public's enormous investment in the university's research corridor on washington avenue.""",university general counsel mark rotenberg write to federal official tuesday request that they delay issue the final record of decision until the u and the met council reach a comprehensive write agreement that mitigate the project s adverse environmental effect and preserve the public s enormous investment in the university s research corridor on washington avenue,1
users of the river should not be adversely affected by the closures and delays.,user of the river should not be adversely affect by the closure and delay,1
"vibrations caused by the wind this year broke cable plates, leading to the bridge's being shut down for several months.",vibration cause by the wind this year break cable plate lead to the bridge s be shut down for several month,1
"volume rises as u, met council debate central corridor route; the u wants more consideration of a route through dinkytown; the council says the delay would thre",volume rise as u meet council debate central corridor route the u want more consideration of a route through dinkytown the council say the delay would thre,1
"we believe a two- year goal, from initiation to record of decision for nepa reviews is not only achievable, but a necessary regulatory requirement in order to attract private investment.",we believe a two year goal from initiation to record of decision for nepa reviews be not only achievable but a necessary regulatory requirement in order to attract private investment,0
"we were not getting...a lot of competition in the bids because we had a very bad reputation,'' says nuria i.fernandez, metro's assistant general manager for design and construction",we be not get a lot of competition in the bid because we have a very bad reputation say nuria i fernandez metro s assistant general manager for design and construction,1
"what's more, the federal consultants base their risk assessments on data from other projects without considering specifics of the sprinter project, she said.",what be more the federal consultant base their risk assessment on datum from other project without consider specific of the sprinter project she say,1
"while clearly justified as a matter of public policy, the eis process as administered by fta is extremely time consuming, with frequent delays and the resulting schedule uncertainty.",while clearly justify as a matter of public policy the eis process as administer by fta be extremely time consume with frequent delay and the result schedule uncertainty,1
"while stacy and witbeck overcame this challenge, additional difficulties were encountered, such as the interface and coordination of rt work with major utility relocations -- including high pressure gas mains and power transmission lines and fiber-optic underground services.",while stacy and witbeck overcome this challenge additional difficulty be encounter such as the interface and coordination of rt work with major utility relocation include high pressure gas main and power transmission line and fiber optic underground service,1
"with a 3-2 vote, the california public utilities commission determined that slowing the pace of gold line trains when they pass through several pasadena intersections satisfies safety requirements.",with a vote the california public utilities commission determine that slow the pace of gold line train when they pass through several pasadena intersection satisfy safety requirement,1
"with the delegation of nepa compliance to our state department of transportation, caltrans, the state was able to reduce delays by 14 to 20 months for highway projects.",with the delegation of nepa compliance to our state department of transportation caltrans the state be able to reduce delay by to month for highway project,0
"with the sales tax revenues down, we cannot keep to the original timeline",with the sale tax revenue down we can not keep to the original timeline,1
"with unanimous agreement that the gateway tunnel is necessary, our congressional delegation should prevent further delays by working for continued funding as a larger national infrastructure program is considered",with unanimous agreement that the gateway tunnel be necessary our congressional delegation should prevent further delay by work for continue funding as a large national infrastructure program be consider,1
"From 2006-08, the cost of construction materials rose about 16 percent in the United States, said Jim Haughey, chief economist at Reed Construction Data, based in Norcross, Ga.  ""It probably cost more than what they thought.""  Winston Simmonds, the Port Authority's construction manager, said the project's cost was based on valid estimates for normal conditions.",from the cost of construction material rise about percent in the united states say jim haughey chief economist at reed construction data base in norcross georgia it probably cost more than what they think winston simmonds the port authority s construction manager say the project s cost be base on valid estimate for normal condition,1
"government oversight officials blame the problems on utility relocation complications, attempts to coordinate the project with a separate but equally complicated underground transit project and the fact that an original budget was based on an early design.",government oversight official blame the problem on utility relocation complication attempt to coordinate the project with a separate but equally complicated underground transit project and the fact that an original budget be base on an early design,1
"Another $84,000 overrun is expected soon, Simmonds warned board members, because the contractor has to remove old construction debris discovered under Stanwix Street.",another overrun be expect soon simmonds warn board member because the contractor have to remove old construction debris discover under stanwix street,1
"another kakaako landowner facing rail condemnation, servco pacific, vented earlier this year that high turnover at hart and its consultants caused negotiations to restartfive times[3] 'from square one'going back to 2014.",another kakaako landowner face rail condemnation servco pacific vent early this year that high turnover at hart and its consultant cause negotiation to restartfive times from square one going back to,1
"''elevated levels of heavy materials in the soil have been a concern to surrounding residents and businesses for decades and the cleanup was a condition of acquisition of this property by rt,'' conover said.",elevated level of heavy material in the soil have be a concern to surround resident and business for decade and the cleanup be a condition of acquisition of this property by rt conover say,1
"metropolitan washington airports authority ceo jack potter said replacing the panels - which would delay the project set to open to riders in 2020 - is ""on the table, if required."" ""we're going to let the science drive our decisions,"" he told wtop.",metropolitan washington airports authority ceo jack potter say replace the panel which would delay the project set to open to rider in be on the table if require we be go to let the science drive our decision he tell wtop,1
"""That's everything from labor to the stones we use in construction."" An audit released in Idaho this week concludes the state's annual $500 million transportation budget is not enough, especially with the inflation in construction costs.",that be everything from labor to the stone we use in construction an audit release in idaho this week conclude the state s annual million transportation budget be not enough especially with the inflation in construction cost,1
"the 1.5-mile-long metro project, which will link johns hopkins hospital with baltimore's central business district, experienced a nine-month delay in 1991 following a collapse at the boring face and the discovery of contaminated soil (enr 9/16/91 p.",the mile long metro project which will link johns hopkins hospital with baltimore s central business district experience a nine month delay in follow a collapse at the boring face and the discovery of contaminate soil enr p,1
the resultant uncertainty and additional length in lead times will likely decrease private sector appetite.,the resultant uncertainty and additional length in lead time will likely decrease private sector appetite,1
Some of the cost overruns approved yesterday include: ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ A $49 million contract -- $20 million more than anticipated -- to build a new Gateway Station in Downtown.,some of the cost overrun approve yesterday include a million contract million more than anticipate to build a new gateway station in downtown,1
"however, when the beams were cast, the concrete pushed the reinforcing steel out of its proper alignment, reports john j.",however when the beam be cast the concrete push the reinforce steel out of its proper alignment report john j,1
"some officials have attributed the delays to strained relations between wssc's board and griffin, who are now reportedly negotiating a mutually acceptable departure.",some official have attribute the delay to strained relation between wssc s board and griffin who be now reportedly negotiate a mutually acceptable departure,1
"mcdonough, a champion of the project, is concerned that a serious delay in federal money could force local governments to speed up their payments to pay bills coming due.",mcdonough a champion of the project be concern that a serious delay in federal money could force local government to speed up their payment to pay bill come due,1
"its hard for me to understand that in 2017, we dont know where the utilities are that need to be relocated for these projects, said los angeles county supervisor janice hahn, also a metro director.",its hard for me to understand that in we do not know where the utility be that need to be relocate for these project say los angeles county supervisor janice hahn also a metro director,1
and the separate contract for oversight could add still more millions to the cost.,and the separate contract for oversight could add still more million to the cost,1
"we are in favor of a bridge being built, but we don't believe a pla will expedite construction.  we think it could actually cause a delay.",we be in favor of a bridge be build but we do not believe a pla will expedite construction we think it could actually cause a delay,1
"the fta was aware that there would be a delay in the delivery of rail cars, but it had not, as of june, accepted an updated plan from the washington metropolitan area transit authority, which is providing cars for the new line, on how it would address the issue.",the fta be aware that there would be a delay in the delivery of rail car but it have not as of june accept an update plan from the washington metropolitan area transit authority which be provide car for the new line on how it would address the issue,1
a citizens' group has submitted a government claim against the federal transportation administration (fta) which demands that the fta and california agencies responsible for the gold line implement federal noise and vibration standards for the entire gold line.,a citizen group have submit a government claim against the federal transportation administration fta which demand that the fta and california agency responsible for the gold line implement federal noise and vibration standard for the entire gold line,1
schedule was delayed because of problems with coordinating the project with another downtown tunnel project; utility relocation; original cost based on early design.,schedule be delay because of problem with coordinate the project with another downtown tunnel project utility relocation original cost base on early design,1
"the fumes from gas-soaked soils, located between the new tunnel and the affected buildings, were apparently forced into the basements by compressed air leaking out of the air-locked section of the tunnel being bored",the fume from gas soak soil locate between the new tunnel and the affected building be apparently force into the basement by compress air leak out of the air lock section of the tunnel be bore,1
"the supplemental appropriation includes $5 million to complete the project's environmental-impact statement, which is a necessary precursor to beginning engineering work and eventually construction.",the supplemental appropriation include million to complete the project s environmental impact statement which be a necessary precursor to begin engineering work and eventually construction,1
"the contractor failed meet seven of 12 criteria outlined in the contract, nowakowski said, including incomplete documentation for safety and security systems, no certificates of occupancy for 20 buildings, and performance issues with the automatic train control system.",the contractor fail meet seven of criterion outline in the contract nowakowski say include incomplete documentation for safety and security system no certificate of occupancy for building and performance issue with the automatic train control system,1
"baltimore could not exercise costsaving options on subway cars, electrical systems and signaling device, and key members of the construction management team would have to be dismissed, their experience probably lost forever.",baltimore could not exercise costsaving option on subway car electrical system and signal device and key member of the construction management team would have to be dismiss their experience probably lose forever,1
"in los angeles, dangerous methane gas pockets chewed up construction time of the los angeles ""red line"" subway system. that caused the region's metropolitan transit authority to realign the subway construction route.",in los angeles dangerous methane gas pocket chew up construction time of the los angeles red line subway system that cause the region s metropolitan transit authority to realign the subway construction route,1
despite intra-agency disputes that have delayed several capital projects,despite intra agency dispute that have delay several capital project,1
"virginia republicans got what they asked for, low-bid procurement without a pla, but for what? phase 2 is looking at a two-year minimum delay; phase 1 was delayed only six months.",virginia republicans get what they ask for low bid procurement without a pla but for what phase be look at a two year minimum delay phase be delay only six month,1
"a critical piece in the project's overall construction timeline, was delayed by heavy winter rains that soaked north county for months.",a critical piece in the project s overall construction timeline be delay by heavy winter rain that soak north county for month,1
"the conditions for working on the bridge are controlled by certain times of the year for water work activity, due to migratory fish.",the condition for work on the bridge be control by certain time of the year for water work activity due to migratory fish,1
"but if peace can't be reached, construction gets pushed back and costs rise by millions of dollars.",but if peace can not be reach construction get push back and cost rise by million of dollar,1
"the u.s. department of transportation yesterday formally relaxed its previous opposition to a special direct federal appropriation for completing the washington metro system, but restated its conditions for continued federal involvement in metro construction.",the u s department of transportation yesterday formally relax its previous opposition to a special direct federal appropriation for complete the washington metro system but restate its condition for continued federal involvement in metro construction,1
the 69th street entrance to the 72nd street entrance was moved from a storefront at 301 e. 69th street to the sidewalk because technical issues could not be resolved,the th street entrance to the nd street entrance be move from a storefront at e th street to the sidewalk because technical issue could not be resolve,1
"because colorado railcar manufacturing was the only u.s. company manufacturing the type of self-propelled diesel railcars trimet needed,",because colorado railcar manufacturing be the only u s company manufacture the type of self propel diesel railcar trimet need,1
"officials also acknowledged that they hadnt budgeted enough for other project costs, including land acquisition, consultants and legal fees.",official also acknowledge that they have not budget enough for other project cost include land acquisition consultant and legal fee,1
"the incorrect mix has allowed water to seep into the panels, then expand when it freezes, thus cracking the concrete.",the incorrect mix have allow water to seep into the panel then expand when it freeze thus crack the concrete,1
"the relocation of underground utilities, including water pipes, gas lines, fuel tanks and electrical wires, are to blame for at least six months of delays",the relocation of underground utility include water pipe gas line fuel tank and electrical wire be to blame for at least six month of delay,1
"despite delays resulting from environmental lawsuits at the state level, hart expects to reduce the 13 months of delays resulting from the lawsuits",despite delay result from environmental lawsuit at the state level hart expect to reduce the month of delay result from the lawsuit,1
"the challenge we are experiencing is some 22 months after the feis went 'final"", the process has still has not produced the definitive actions to allow complete permitting under nepa.",the challenge we be experience be some month after the feis go final the process have still have not produce the definitive action to allow complete permitting under nepa,1
the first indictor of whether the city can stick to its schedule is whether the federal transit administration approves the project's environmental impact statement.,the first indictor of whether the city can stick to its schedule be whether the federal transit administration approve the project s environmental impact statement,1
"the alleged violations include placing welding cylinders too close to the cutting operation, using cutting torches in a gassy tunnel without continuous testing by qualified personnel and failure to separate oxygen cylinders from acetylene cylinders bya noncombustible barrier or minimal distance.",the allege violation include place weld cylinder too close to the cut operation use cut torch in a gassy tunnel without continuous testing by qualified personnel and failure to separate oxygen cylinder from acetylene cylinder bya noncombustible barrier or minimal distance,1
"they were looking to change the alignment, station platforms and the configuration of the yard for the control center,"" lapp says.",they be look to change the alignment station platform and the configuration of the yard for the control center lapp say,1
"there are significant ""soft"" costs - primarily the staff and consultant time required to prepare and revise the extensive documents and reports required by fta, consult and meet regularly with fta and its consultants, submit new start reports on the project, etc.",there be significant soft cost primarily the staff and consultant time require to prepare and revise the extensive document and report require by fta consult and meet regularly with fta and its consultant submit new start report on the project etc,1
"besides increases to aecom's contract, $35 million in contingency has been spent on construction change orders that have been filed or are anticipated.",besides increase to aecom s contract million in contingency have be spend on construction change order that have be file or be anticipate,1
"more importantly, the current fta approach fails to take into account the actual level of risk to the federal government, and the extent to which that risk has been transferred to the local project sponsor/grantee.",more importantly the current fta approach fail to take into account the actual level of risk to the federal government and the extent to which that risk have be transfer to the local project sponsor grantee,1
Port Authority officials blame the cost overruns on sharp increases in prices of construction materials such as steel and concrete -- key components of the tunnels and three T stations.,port authority official blame the cost overrun on sharp increase in price of construction material such as steel and concrete key component of the tunnel and three t station,1
"Instead, he pinched the 'too-big-to-fail' argument from Wall Street bankers and demanded yet another bailout from Hawaii taxpayers.",instead he pinch the too big to fail argument from wall street banker and demand yet another bailout from hawaii taxpayer,1
"bell said that he was disappointed by the u's last-minute appeal, because any slowdown would have delayed construction for a year, costing an additional $30 to $40 million.",bell say that he be disappoint by the u s last minute appeal because any slowdown would have delay construction for a year cost an additional to million,1
"further, the reagan administration was already cutting rapid transit funds when the new deficit-cutting law all but ended hopes for additional help for systems not already under way.",far the reagan administration be already cut rapid transit fund when the new deficit cut law all but end hope for additional help for system not already under way,1
"burnsville-based ames construction and maple grove-based mccrossan construction, which are building the west end of the line, have seen $5 million in change orders.",burnsville base ames construction and maple grove base mccrossan construction which be build the west end of the line have see million in change order,1
"specifically, the often lengthy process of obtaining fta's approval to enter final design, and the detailed and time consuming development of the ffga package and accompanying reports.",specifically the often lengthy process of obtain fta s approval to enter final design and the detailed and time consume development of the ffga package and accompany report,1
"mark fuhrmann, the met council's lead on light rail projects, said the increases have occurred because the agency couldn't predict all of the work aecom would need to do when the contract was awarded five years ago.",mark fuhrmann the met council s lead on light rail project say the increase have occur because the agency could not predict all of the work aecom would need to do when the contract be award five year ago,1
installation of tracks was delayed but seems to be back on trick.,installation of track be delay but seem to be back on trick,1
investigators also are looking into construction quality lapses that caused the project's only tunnel to be misaligned and 44 defective columns to be produced.,investigator also be look into construction quality lapse that cause the project s only tunnel to be misalign and defective column to be produce,1
"the cost of the rail extension remains the same as 2015 estimates, but the additional two years of work, combined with minimum wage increases will add about $118 million in labor costs to the project.",the cost of the rail extension remain the same as estimate but the additional two year of work combine with minimum wage increase will add about million in labor cost to the project,1
"the lack of precedent for new systems to serve as examples, coupled with the risks resulting from uncertain and extended permitting processes have limited the availability of appropriate debt needed to complete the total capital equation.",the lack of precedent for new system to serve as example couple with the risk result from uncertain and extended permit process have limit the availability of appropriate debt need to complete the total capital equation,1
"last summer, virginia and the federal government sued one of the project's subcontractors, universal concrete products, for falsifying documents and installing nearly 1,600 faulty concrete panels.",last summer virginia and the federal government sue one of the project s subcontractor universal concrete product for falsify document and instal nearly faulty concrete panel,1
"in the absence of an interpretation of the law, city and state contract officials are reluctant to deny contracts to the japanese. in washington, d.c., the award of a $ 50-million tunneling contract for the washington metropolitan area transit authority has been delayed for weeks.",in the absence of an interpretation of the law city and state contract official be reluctant to deny contract to the japanese in washington d c the award of a million tunnel contract for the washington metropolitan area transit authority have be delay for week,1
"however, the city doesn't expect to find out whether it will get that money until early 2011.",however the city do not expect to find out whether it will get that money until early,1
it took some time to fine-tune expectations and requirements and provide an acceptable product to the owner,it take some time to fine tune expectation and requirement and provide an acceptable product to the owner,1
"But the plans are not always reliable - the ground also contains, like buried treasure, long-abandoned utilities, sometimes even the odd foundation for the old farmhouse that stood there 100 years ago.",but the plan be not always reliable the ground also contain like bury treasure long abandon utility sometimes even the odd foundation for the old farmhouse that stand there year ago,1
"""You find a variety of manmade but unmarked and abandoned obstructions,"" Pederson said.",you find a variety of manmade but unmarked and abandon obstruction pederson say,1
"These abandoned storm, sewer or gas lines ""may be on your plans or may not be.",these abandon storm sewer or gas line may be on your plan or may not be,1
"These utilities, put in by private property owners, are almost always unmarked on pre-engineering plans.",these utility put in by private property owner be almost always unmarked on pre engineering plan,1
Phone lines are part of the telecommunications boom that beginning in the late 1980s made working with utilities underground along public right-of-ways a much more difficult deal.,phone line be part of the telecommunications boom that begin in the late make work with utility underground along public right of way a much more difficult deal,1
"Most of the time, when people are getting upset because a project is taking too long, it's because we're working around utilities,"" Maczko said.",most of the time when people be get upset because a project be take too long it be because we be work around utility maczko say,1
The biggest challenge to the project team is working while the trains are keeping their schedule.,the big challenge to the project team be work while the train be keep their schedule,1
"Fortunately for them, the line runs on weekdays only, providing a 45-hour window of construction opportunity every weekend.",fortunately for them the line run on weekday only provide a hour window of construction opportunity every weekend,1
But some projects will probably be delayed by the state's budget crunch.,but some project will probably be delay by the state s budget crunch,1
